File: airs-bp
Type: cpu
Time: Aug 26, 2023 at 7:14pm (UTC)
Duration: 10s, Total samples = 1.21s (12.10%)
Showing nodes accounting for 1.21s, 100% of 1.21s total
      flat  flat%   sum%        cum   cum%
     0.16s 13.22% 13.22%      0.16s 13.22%  runtime/internal/syscall.Syscall6
     0.15s 12.40% 25.62%      0.15s 12.40%  runtime.futex
     0.04s  3.31% 28.93%      0.04s  3.31%  runtime.write1
     0.03s  2.48% 31.40%      0.03s  2.48%  runtime.memclrNoHeapPointers
     0.03s  2.48% 33.88%      0.03s  2.48%  runtime.memmove
     0.03s  2.48% 36.36%      0.03s  2.48%  runtime.spanOf (inline)
     0.02s  1.65% 38.02%      0.02s  1.65%  aeshashbody
     0.02s  1.65% 39.67%      0.02s  1.65%  regexp.(*Regexp).doOnePass
     0.02s  1.65% 41.32%      0.02s  1.65%  runtime.(*waitq).dequeue (inline)
     0.02s  1.65% 42.98%      0.03s  2.48%  runtime.greyobject
     0.02s  1.65% 44.63%      0.05s  4.13%  runtime.heapBitsSetType
     0.02s  1.65% 46.28%      0.02s  1.65%  runtime.mapiterinit
     0.02s  1.65% 47.93%      0.02s  1.65%  runtime.nanotime (partial-inline)
     0.02s  1.65% 49.59%      0.02s  1.65%  runtime.procyield
     0.01s  0.83% 50.41%      0.06s  4.96%  encoding/json.(*decodeState).arrayInterface
     0.01s  0.83% 51.24%      0.01s  0.83%  encoding/json.(*decodeState).literalStore
     0.01s  0.83% 52.07%      0.01s  0.83%  encoding/json.(*decodeState).rescanLiteral
     0.01s  0.83% 52.89%      0.01s  0.83%  encoding/json.checkValid
     0.01s  0.83% 53.72%      0.01s  0.83%  encoding/json.stateBeginValueOrEmpty
     0.01s  0.83% 54.55%      0.02s  1.65%  fmt.(*pp).doPrintf
     0.01s  0.83% 55.37%      0.01s  0.83%  fmt.(*pp).printArg
     0.01s  0.83% 56.20%      0.01s  0.83%  github.com/cespare/xxhash/v2.Sum64
     0.01s  0.83% 57.02%      0.01s  0.83%  github.com/gocql/gocql.(*Iter).Close (inline)
     0.01s  0.83% 57.85%      0.01s  0.83%  github.com/google/flatbuffers/go.(*Builder).WriteVtable
     0.01s  0.83% 58.68%      0.02s  1.65%  github.com/untillpro/airs-bp3/packages/air/dashboard.(*dashboardProjectorLogic).do
     0.01s  0.83% 59.50%      0.02s  1.65%  github.com/untillpro/airs-bp3/packages/air/pbilldates.glob..func1
     0.01s  0.83% 60.33%      0.01s  0.83%  github.com/untillpro/dynobuffers.(*Buffer).Get (inline)
     0.01s  0.83% 61.16%      0.02s  1.65%  github.com/untillpro/dynobuffers.(*Buffer).Set (inline)
     0.01s  0.83% 61.98%      0.01s  0.83%  github.com/voedger/voedger/pkg/appdef.(*appDef).DefByName
     0.01s  0.83% 62.81%      0.02s  1.65%  github.com/voedger/voedger/pkg/appdef.(*fields).Field (partial-inline)
     0.01s  0.83% 63.64%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).ccDef
     0.01s  0.83% 64.46%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem/internal/qnames.(*QNames).ID
     0.01s  0.83% 65.29%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem/internal/qnames.(*QNames).QName (inline)
     0.01s  0.83% 66.12%      0.41s 33.88%  github.com/voedger/voedger/pkg/pipeline.(*WiredOperator).doSync
     0.01s  0.83% 66.94%      0.01s  0.83%  github.com/voedger/voedger/pkg/pipeline.(*flushTimer).reset (inline)
     0.01s  0.83% 67.77%      0.46s 38.02%  github.com/voedger/voedger/pkg/pipeline.puller_sync
     0.01s  0.83% 68.60%      0.02s  1.65%  github.com/voedger/voedger/pkg/projectors.(*asyncActualizer).handleEvent
     0.01s  0.83% 69.42%      0.02s  1.65%  github.com/voedger/voedger/pkg/projectors.newSyncBranch.func2
     0.01s  0.83% 70.25%      0.02s  1.65%  github.com/voedger/voedger/pkg/state.(*hostState).KeyBuilder
     0.01s  0.83% 71.07%      0.01s  0.83%  github.com/voedger/voedger/pkg/utils.MapObject.AsObjects
     0.01s  0.83% 71.90%      0.01s  0.83%  github.com/voedger/voedger/pkg/utils.Marshal
     0.01s  0.83% 72.73%      0.01s  0.83%  internal/poll.consume (inline)
     0.01s  0.83% 73.55%      0.02s  1.65%  io.ReadAtLeast
     0.01s  0.83% 74.38%      0.01s  0.83%  io.discard.ReadFrom
     0.01s  0.83% 75.21%      0.01s  0.83%  memeqbody
     0.01s  0.83% 76.03%      0.01s  0.83%  runtime.(*gcWork).putFast (inline)
     0.01s  0.83% 76.86%      0.01s  0.83%  runtime.(*itabTableType).find
     0.01s  0.83% 77.69%      0.01s  0.83%  runtime.(*mspan).refillAllocCache
     0.01s  0.83% 78.51%      0.01s  0.83%  runtime.acquireSudog
     0.01s  0.83% 79.34%      0.01s  0.83%  runtime.acquirem (inline)
     0.01s  0.83% 80.17%      0.01s  0.83%  runtime.arenaIndex (inline)
     0.01s  0.83% 80.99%      0.01s  0.83%  runtime.duffcopy
     0.01s  0.83% 81.82%      0.01s  0.83%  runtime.fastrand (inline)
     0.01s  0.83% 82.64%      0.04s  3.31%  runtime.findObject
     0.01s  0.83% 83.47%      0.02s  1.65%  runtime.getitab
     0.01s  0.83% 84.30%      0.01s  0.83%  runtime.gopark
     0.01s  0.83% 85.12%      0.01s  0.83%  runtime.heapBitsForAddr
     0.01s  0.83% 85.95%      0.10s  8.26%  runtime.mallocgc
     0.01s  0.83% 86.78%      0.01s  0.83%  runtime.mapaccess1
     0.01s  0.83% 87.60%      0.04s  3.31%  runtime.mapassign_faststr
     0.01s  0.83% 88.43%      0.01s  0.83%  runtime.mget (inline)
     0.01s  0.83% 89.26%      0.05s  4.13%  runtime.netpoll
     0.01s  0.83% 90.08%      0.06s  4.96%  runtime.newobject (partial-inline)
     0.01s  0.83% 90.91%      0.01s  0.83%  runtime.nextFreeFast (inline)
     0.01s  0.83% 91.74%      0.21s 17.36%  runtime.park_m
     0.01s  0.83% 92.56%      0.01s  0.83%  runtime.runqput
     0.01s  0.83% 93.39%      0.09s  7.44%  runtime.scanobject
     0.01s  0.83% 94.21%      0.22s 18.18%  runtime.schedule
     0.01s  0.83% 95.04%      0.01s  0.83%  runtime.selunlock
     0.01s  0.83% 95.87%      0.01s  0.83%  runtime.usleep
     0.01s  0.83% 96.69%      0.02s  1.65%  runtime.writeHeapBits.flush
     0.01s  0.83% 97.52%      0.01s  0.83%  runtime.writeHeapBits.write
     0.01s  0.83% 98.35%      0.01s  0.83%  runtime/internal/atomic.(*Uint32).Add (inline)
     0.01s  0.83% 99.17%      0.01s  0.83%  time.(*Location).get
         0     0%   100%      0.01s  0.83%  github.com/untillpro/dynobuffers.(*Buffer).getFieldUOffsetT
         0     0%   100%      0.01s  0.83%  github.com/untillpro/dynobuffers.NewBuffer
         0     0%   100%      0.01s  0.83%  github.com/untillpro/dynobuffers.encodeFixedSizeValue
         0     0%   100%      0.01s  0.83%  github.com/untillpro/dynobuffers.getBuffer (inline)
         0     0%   100%      0.01s  0.83%  github.com/untillpro/dynobuffers.glob..func1
         0     0%   100%      0.01s  0.83%  github.com/untillpro/ibusmem.(*bus).SendRequest2.func2
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/appdef.(*appDef).View
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/appdef.(*appDef).defByKind
         0     0%   100%      0.03s  2.48%  github.com/voedger/voedger/pkg/appdef.(*fields).Fields
         0     0%   100%      0.04s  3.31%  github.com/voedger/voedger/pkg/iauthnzimpl.(*implIAuthenticator).Authenticate
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/in10nmem.(*N10nBroker).Update
         0     0%   100%      0.05s  4.13%  github.com/voedger/voedger/pkg/in10nmem.(*N10nBroker).WatchChannel
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/in10nmem.guaranteeProjection (inline)
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Get
         0     0%   100%      0.04s  3.31%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Put
         0     0%   100%      0.06s  4.96%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).PutBatch
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).PutBatch.func1
         0     0%   100%      0.04s  3.31%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).Put
         0     0%   100%      0.05s  4.13%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
         0     0%   100%      0.07s  5.79%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).PutPlog
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).ReadPLog
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply2
         0     0%   100%      0.03s  2.48%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).GetSingleton
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).putRecordsBatch
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).Get
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).KeyBuilder
         0     0%   100%      0.06s  4.96%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).PutBatch
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).storeViewRecord
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*commandFunction).Exec
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).Update
         0     0%   100%      0.04s  3.31%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).enumRecs
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).regenerateIDs
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).Elements
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).BuildRawEvent
         0     0%   100%      0.04s  3.31%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).CUDs
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).build
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).regenerateIDs
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).storeToBytes
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals.func1
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).build
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).pkDef
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeToBytes
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewClustKey.func1
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey.func1
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*recordType).copyFrom (inline)
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).AsInt64
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutNumber
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).RecordIDs
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).copyFrom
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).copyFrom.func1
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).fieldDef (inline)
         0     0%   100%      0.03s  2.48%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).loadFromBytes
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setDef
         0     0%   100%      0.03s  2.48%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQNameID
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).storeToBytes
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.(*valueType).Build
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.FillElementFromJSON
         0     0%   100%      0.03s  2.48%  github.com/voedger/voedger/pkg/istructsmem.loadRow
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.newKey
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.newUpdateRec
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.regenerateIDsInUpdateRecord
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.storeElement
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.storeEvent
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem.storeEventArguments
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/istructsmem.storeRow
         0     0%   100%      0.01s  0.83%  github.com/voedger/voedger/pkg/istructsmem/internal/plogcache.(*Cache).Put (inline)
         0     0%   100%      0.03s  2.48%  github.com/voedger/voedger/pkg/istructsmem/internal/utils.SafeWriteBuf
         0     0%   100%      0.02s  1.65%  github.com/voedger/voedger/pkg/itokens-payloads.(*implIAppTokens).ValidateToken
