File: airs-bp
Type: cpu
Time: Aug 10, 2023 at 6:11pm (UTC)
Duration: 10.16s, Total samples = 1.23s (12.11%)
Showing nodes accounting for 1.23s, 100% of 1.23s total
      flat  flat%   sum%        cum   cum%
     0.19s 15.45% 15.45%      0.19s 15.45%  runtime.futex
     0.13s 10.57% 26.02%      0.13s 10.57%  runtime/internal/syscall.Syscall6
     0.06s  4.88% 30.89%      0.06s  4.88%  runtime.nextFreeFast (inline)
     0.04s  3.25% 34.15%      0.08s  6.50%  runtime.selectgo
     0.04s  3.25% 37.40%      0.04s  3.25%  runtime.write1
     0.03s  2.44% 39.84%      0.03s  2.44%  runtime.(*itabTableType).find
     0.03s  2.44% 42.28%      0.03s  2.44%  runtime.memmove
     0.02s  1.63% 43.90%      0.03s  2.44%  github.com/untillpro/dynobuffers.(*Buffer).getFieldUOffsetT
     0.02s  1.63% 45.53%      0.03s  2.44%  runtime.checkTimers
     0.02s  1.63% 47.15%      0.17s 13.82%  runtime.mallocgc
     0.02s  1.63% 48.78%      0.03s  2.44%  runtime.mapaccess2_faststr
     0.02s  1.63% 50.41%      0.02s  1.63%  runtime.mapiternext
     0.02s  1.63% 52.03%      0.02s  1.63%  runtime.pageIndexOf (inline)
     0.02s  1.63% 53.66%      0.05s  4.07%  runtime.scanobject
     0.01s  0.81% 54.47%      0.01s  0.81%  context.(*cancelCtx).Done
     0.01s  0.81% 55.28%      0.01s  0.81%  encoding/base64.(*Encoding).Decode
     0.01s  0.81% 56.10%      0.01s  0.81%  encoding/json.(*decodeState).readIndex (inline)
     0.01s  0.81% 56.91%      0.01s  0.81%  encoding/json.checkValid
     0.01s  0.81% 57.72%      0.01s  0.81%  encoding/json.stateEndValue
     0.01s  0.81% 58.54%      0.06s  4.88%  github.com/gocql/gocql.(*Conn).recv
     0.01s  0.81% 59.35%      0.10s  8.13%  github.com/gocql/gocql.(*writeCoalescer).flush
     0.01s  0.81% 60.16%      0.01s  0.81%  github.com/gocql/gocql/internal/streams.streamOffset (inline)
     0.01s  0.81% 60.98%      0.01s  0.81%  github.com/google/flatbuffers/go.(*Builder).Reset (inline)
     0.01s  0.81% 61.79%      0.04s  3.25%  github.com/untillpro/dynobuffers.(*Buffer).encodeBuffer
     0.01s  0.81% 62.60%      0.01s  0.81%  github.com/voedger/voedger/pkg/appdef.(*field).DataKind
     0.01s  0.81% 63.41%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).qNameID
     0.01s  0.81% 64.23%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow.func1
     0.01s  0.81% 65.04%      0.04s  3.25%  github.com/voedger/voedger/pkg/processors/command.applyPLogEvent
     0.01s  0.81% 65.85%      0.01s  0.81%  github.com/voedger/voedger/pkg/processors/command.checkWSActive
     0.01s  0.81% 66.67%      0.01s  0.81%  github.com/voedger/voedger/pkg/projectors.(*eventService).getWSID
     0.01s  0.81% 67.48%      0.01s  0.81%  indexbytebody
     0.01s  0.81% 68.29%      0.02s  1.63%  internal/poll.(*FD).Read
     0.01s  0.81% 69.11%      0.01s  0.81%  memeqbody
     0.01s  0.81% 69.92%      0.01s  0.81%  net/http.(*connReader).lock
     0.01s  0.81% 70.73%      0.01s  0.81%  reflect.(*rtype).exportedMethods
     0.01s  0.81% 71.54%      0.01s  0.81%  reflect.(*rtype).ptrTo
     0.01s  0.81% 72.36%      0.01s  0.81%  runtime.(*limiterEvent).stop
     0.01s  0.81% 73.17%      0.03s  2.44%  runtime.(*mcentral).cacheSpan
     0.01s  0.81% 73.98%      0.01s  0.81%  runtime.(*mspan).init
     0.01s  0.81% 74.80%      0.01s  0.81%  runtime.(*randomEnum).next (inline)
     0.01s  0.81% 75.61%      0.01s  0.81%  runtime.(*semaRoot).dequeue
     0.01s  0.81% 76.42%      0.01s  0.81%  runtime.(*timeHistogram).record
     0.01s  0.81% 77.24%      0.01s  0.81%  runtime.acquireSudog
     0.01s  0.81% 78.05%      0.01s  0.81%  runtime.acquirem (inline)
     0.01s  0.81% 78.86%      0.01s  0.81%  runtime.add (inline)
     0.01s  0.81% 79.67%      0.01s  0.81%  runtime.chanrecv
     0.01s  0.81% 80.49%      0.01s  0.81%  runtime.duffcopy
     0.01s  0.81% 81.30%      0.01s  0.81%  runtime.exitsyscallfast
     0.01s  0.81% 82.11%      0.01s  0.81%  runtime.findObject
     0.01s  0.81% 82.93%      0.25s 20.33%  runtime.findRunnable
     0.01s  0.81% 83.74%      0.13s 10.57%  runtime.futexsleep
     0.01s  0.81% 84.55%      0.06s  4.88%  runtime.gcDrain
     0.01s  0.81% 85.37%      0.01s  0.81%  runtime.gcTrigger.test
     0.01s  0.81% 86.18%      0.01s  0.81%  runtime.gentraceback
     0.01s  0.81% 86.99%      0.01s  0.81%  runtime.gogo
     0.01s  0.81% 87.80%      0.08s  6.50%  runtime.goready
     0.01s  0.81% 88.62%      0.03s  2.44%  runtime.heapBitsSetType
     0.01s  0.81% 89.43%      0.06s  4.88%  runtime.makeslice
     0.01s  0.81% 90.24%      0.01s  0.81%  runtime.mapaccess1
     0.01s  0.81% 91.06%      0.02s  1.63%  runtime.mapiterinit
     0.01s  0.81% 91.87%      0.01s  0.81%  runtime.nanotime (inline)
     0.01s  0.81% 92.68%      0.01s  0.81%  runtime.nanotime1
     0.01s  0.81% 93.50%      0.01s  0.81%  runtime.netpollblockcommit
     0.01s  0.81% 94.31%      0.14s 11.38%  runtime.notesleep
     0.01s  0.81% 95.12%      0.30s 24.39%  runtime.schedule
     0.01s  0.81% 95.93%      0.01s  0.81%  runtime.unlock2
     0.01s  0.81% 96.75%      0.01s  0.81%  runtime.writeHeapBits.flush
     0.01s  0.81% 97.56%      0.01s  0.81%  runtime.writeHeapBits.write
     0.01s  0.81% 98.37%      0.01s  0.81%  runtime/internal/atomic.(*UnsafePointer).Load (inline)
     0.01s  0.81% 99.19%      0.01s  0.81%  runtime/internal/atomic.(*UnsafePointer).StoreNoWB (inline)
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/appdef.(*appDef).View
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/appdef.(*appDef).defByKind
         0     0%   100%      0.03s  2.44%  github.com/voedger/voedger/pkg/appdef.(*fields).Field (inline)
         0     0%   100%      0.06s  4.88%  github.com/voedger/voedger/pkg/appdef.(*fields).Fields
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/iauthnz.QNameAncestor (inline)
         0     0%   100%      0.04s  3.25%  github.com/voedger/voedger/pkg/iauthnzimpl.(*implIAuthenticator).Authenticate
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/iauthnzimpl.(*implIAuthorizer).Authorize
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/iauthnzimpl.ACL.IsAllowed
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/iauthnzimpl.matchOrNotSpecified_Principals
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/iauthnzimpl.matchOrNotSpecified_Principals.func1
         0     0%   100%      0.06s  4.88%  github.com/voedger/voedger/pkg/in10nmem.(*N10nBroker).WatchChannel
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Get
         0     0%   100%      0.04s  3.25%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).Put
         0     0%   100%      0.06s  4.88%  github.com/voedger/voedger/pkg/istoragecache.(*cachedAppStorage).PutBatch
         0     0%   100%      0.03s  2.44%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).Put
         0     0%   100%      0.06s  4.88%  github.com/voedger/voedger/pkg/istorageimpl/istoragecas.(*appStorageType).PutBatch
         0     0%   100%      0.04s  3.25%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).PutPlog
         0     0%   100%      0.04s  3.25%  github.com/voedger/voedger/pkg/istructsmem.(*appEventsType).PutWlog
         0     0%   100%      0.03s  2.44%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply
         0     0%   100%      0.03s  2.44%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply2
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Apply2.func3
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).Get
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).GetSingleton
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).getRecord
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*appRecordsType).putRecordsBatch
         0     0%   100%      0.04s  3.25%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).KeyBuilder
         0     0%   100%      0.06s  4.88%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).PutBatch
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*appViewRecords).storeViewRecord
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).applyRecs
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).build
         0     0%   100%      0.03s  2.44%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).enumRecs
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*cudType).regenerateIDs
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).Build
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).EnumElements (inline)
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).build
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).build.func1
         0     0%   100%      0.03s  2.44%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).forEach
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs.func1
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*elementType).regenerateIDs.func2
         0     0%   100%      0.05s  4.07%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).BuildRawEvent
         0     0%   100%      0.03s  2.44%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).CUDs
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).applyCommandRecs (inline)
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).build
         0     0%   100%      0.04s  3.25%  github.com/voedger/voedger/pkg/istructsmem.(*eventType).regenerateIDs
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).Equals
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).build
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).pkDef
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeToBytes
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*keyType).storeViewPartKey
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).AsInt32
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).AsInt64
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).AsRecordID
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).PutNumber
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).RecordIDs
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).RecordIDs.func1
         0     0%   100%      0.06s  4.88%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).build
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).copyFrom
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).loadFromBytes
         0     0%   100%      0.05s  4.07%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setDef
         0     0%   100%      0.04s  3.25%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQName
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).setQNameID
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*rowType).storeToBytes
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*updateRecType).build
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validDocument (inline)
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElement
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validElementContainers.func2
         0     0%   100%      0.03s  2.44%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRecord
         0     0%   100%      0.03s  2.44%  github.com/voedger/voedger/pkg/istructsmem.(*validator).validRow
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validCUD
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validCUDRefRawIDs
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validCUDRefRawIDs.func1
         0     0%   100%      0.04s  3.25%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEvent
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEventCUDs
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validEventObjects
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validObject
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.(*validators).validRecord
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.(*valueType).Build
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.CheckRefIntegrity.func1
         0     0%   100%      0.02s  1.63%  github.com/voedger/voedger/pkg/istructsmem.FillElementFromJSON
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.loadRow
         0     0%   100%      0.04s  3.25%  github.com/voedger/voedger/pkg/istructsmem.newKey
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.newValue
         0     0%   100%      0.01s  0.81%  github.com/voedger/voedger/pkg/istructsmem.regenerateIDsInUpdateRecord
